,,,,,,Play,Perf,Perf,Perf,Perf
Rk,Player,Nation,Pos,Squad,Age,MP,Gls,Ast,CrdY,CrdR
,,,,,,,,,,
199,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Arsenal,29,29,12,3,2,0
200,Shay Given\Shay-Given,ie IRL,GK,Stoke City,40,5,0,0,1,0
201,Evandro Goebel\Evandro-Goebel,br BRA,MF,Hull City,29,11,0,0,1,0
202,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,15,1,0,0,0,0
203,Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,35,38,0,0,1,0
204,Lynden Gooch\Lynden-Gooch,us USA,MF,Sunderland,20,11,0,0,3,0
205,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,26,27,2,0,6,0
206,Lewis Grabban\Lewis-Grabban,eng ENG,FWMF,Bournemouth,28,3,0,0,0,0
207,Max Gradel\Max-Gradel,ci CIV,FWMF,Bournemouth,28,11,0,0,3,0
208,Lee Grant\Lee-Grant,eng ENG,GK,Stoke City,33,28,0,0,1,0
209,Andre Gray\Andre-Gray,eng ENG,FW,Burnley,25,32,9,3,2,0
210,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,20,30,1,3,2,0
211,Kamil Grosicki\Kamil-Grosicki,pl POL,MF,Hull City,28,15,0,3,1,0
212,Marko Grujić\Marko-Grujic,rs SRB,MF,Liverpool,20,5,0,0,1,0
213,Adlène Guedioura\Adlene-Guedioura,dz ALG,MF,Middlesbrough,30,5,0,0,0,0
214,Adlène Guedioura\Adlene-Guedioura,dz ALG,MF,Watford,30,12,0,0,2,0
215,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,25,10,3,1,0,0
216,Brad Guzan\Brad-Guzan,us USA,GK,Middlesbrough,31,10,0,0,0,0
217,Josh Harrop\Josh-Harrop,eng ENG,FW,Manchester Utd,20,1,1,0,0,0
218,Eden Hazard\Eden-Hazard,be BEL,FWMF,Chelsea,25,36,16,5,3,0
219,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,30,35,0,0,1,0
220,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,26,24,1,4,8,0
221,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,24,32,2,1,6,1
222,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,29,29,0,0,1,0
223,Markus Henriksen\Markus-Henriksen,no NOR,MF,Hull City,24,15,0,0,1,0
224,Abel Hernández\Abel-Hernandez,uy URU,FW,Hull City,25,24,4,3,0,0
225,Luis Hernández\Luis-Hernandez,es ESP,DF,Leicester City,27,4,0,0,1,0
226,Ander Herrera\Ander-Herrera,es ESP,MF,Manchester Utd,26,31,1,5,6,2
227,Son Heung-min\Son-Heung-min,kr KOR,MFFW,Tottenham,24,34,14,6,2,0
